[0509/112257.850:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112257.878:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112455.523:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.562:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.566:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.572:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112514.969:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112515.010:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112515.042:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112515.075:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112544.956:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x49c04913600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112544.988:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x49c04913600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112545.014:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x49c04913600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112545.040:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x49c04913600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/113033.120:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1a64058d9e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/113033.143:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1a64058d9e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/113033.161:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1a64058d9e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/113033.184:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x1a64058d9e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/113936.470:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2e5c06532400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/113936.505:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2e5c06532400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/113936.530:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x2e5c06532400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
